filter_status	method	node	rejected	meaning
after_filter	Yekutieli	A418	FALSE	A41.8 Other specified septicaemia
before_filter	Focused_BH	A419	FALSE	A41.9 Septicaemia, unspecified
after_filter	Focused_BH	A419	FALSE	A41.9 Septicaemia, unspecified
before_filter	Structured_Holm	A419	FALSE	A41.9 Septicaemia, unspecified
after_filter	Structured_Holm	A419	FALSE	A41.9 Septicaemia, unspecified
before_filter	BH	A419	FALSE	A41.9 Septicaemia, unspecified
after_filter	BH	A419	FALSE	A41.9 Septicaemia, unspecified
before_filter	Leaf_BH	A419	FALSE	A41.9 Septicaemia, unspecified
after_filter	Leaf_BH	A419	FALSE	A41.9 Septicaemia, unspecified
before_filter	Yekutieli	A419	FALSE	A41.9 Septicaemia, unspecified
after_filter	Yekutieli	A419	FALSE	A41.9 Septicaemia, unspecified
before_filter	Focused_BH	A46	FALSE	A46 Erysipelas
after_filter	Focused_BH	A46	FALSE	A46 Erysipelas
before_filter	Structured_Holm	A46	FALSE	A46 Erysipelas
after_filter	Structured_Holm	A46	FALSE	A46 Erysipelas
before_filter	BH	A46	FALSE	A46 Erysipelas
after_filter	BH	A46	FALSE	A46 Erysipelas
before_filter	Leaf_BH	A46	FALSE	A46 Erysipelas
after_filter	Leaf_BH	A46	FALSE	A46 Erysipelas
before_filter	Yekutieli	A46	FALSE	A46 Erysipelas
after_filter	Yekutieli	A46	FALSE	A46 Erysipelas
before_filter	Focused_BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
after_filter	Focused_BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
before_filter	Structured_Holm	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
after_filter	Structured_Holm	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
before_filter	BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
after_filter	BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
before_filter	Leaf_BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
after_filter	Leaf_BH	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
before_filter	Yekutieli	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
after_filter	Yekutieli	A48	FALSE	A48 Other bacterial diseases, not elsewhere classified
before_filter	Focused_BH	A481	FALSE	A48.1 Legionnaires' disease
after_filter	Focused_BH	A481	FALSE	A48.1 Legionnaires' disease
before_filter	Structured_Holm	A481	FALSE	A48.1 Legionnaires' disease
after_filter	Structured_Holm	A481	FALSE	A48.1 Legionnaires' disease
before_filter	BH	A481	FALSE	A48.1 Legionnaires' disease
after_filter	BH	A481	FALSE	A48.1 Legionnaires' disease
before_filter	Leaf_BH	A481	FALSE	A48.1 Legionnaires' disease
after_filter	Leaf_BH	A481	FALSE	A48.1 Legionnaires' disease
before_filter	Yekutieli	A481	FALSE	A48.1 Legionnaires' disease
after_filter	Yekutieli	A481	FALSE	A48.1 Legionnaires' disease
before_filter	Focused_BH	A49	FALSE	A49 Bacterial infection of unspecified site
after_filter	Focused_BH	A49	FALSE	A49 Bacterial infection of unspecified site
before_filter	Structured_Holm	A49	FALSE	A49 Bacterial infection of unspecified site
after_filter	Structured_Holm	A49	FALSE	A49 Bacterial infection of unspecified site
before_filter	BH	A49	FALSE	A49 Bacterial infection of unspecified site
after_filter	BH	A49	FALSE	A49 Bacterial infection of unspecified site
before_filter	Leaf_BH	A49	FALSE	A49 Bacterial infection of unspecified site
after_filter	Leaf_BH	A49	FALSE	A49 Bacterial infection of unspecified site
before_filter	Yekutieli	A49	FALSE	A49 Bacterial infection of unspecified site
after_filter	Yekutieli	A49	FALSE	A49 Bacterial infection of unspecified site
before_filter	Focused_BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
after_filter	Focused_BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
before_filter	Structured_Holm	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
after_filter	Structured_Holm	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
before_filter	BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
after_filter	BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
before_filter	Leaf_BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
after_filter	Leaf_BH	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
before_filter	Yekutieli	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
after_filter	Yekutieli	A63	FALSE	A63 Other predominantly sexually transmitted diseases, not elsewhere classified
before_filter	Focused_BH	A630	FALSE	A63.0 Anogenital (venereal) warts
after_filter	Focused_BH	A630	FALSE	A63.0 Anogenital (venereal) warts
before_filter	Structured_Holm	A630	FALSE	A63.0 Anogenital (venereal) warts
after_filter	Structured_Holm	A630	FALSE	A63.0 Anogenital (venereal) warts
before_filter	BH	A630	FALSE	A63.0 Anogenital (venereal) warts
after_filter	BH	A630	FALSE	A63.0 Anogenital (venereal) warts
before_filter	Leaf_BH	A630	FALSE	A63.0 Anogenital (venereal) warts
after_filter	Leaf_BH	A630	FALSE	A63.0 Anogenital (venereal) warts
before_filter	Yekutieli	A630	FALSE	A63.0 Anogenital (venereal) warts
after_filter	Yekutieli	A630	FALSE	A63.0 Anogenital (venereal) warts
before_filter	Focused_BH	A86	FALSE	A86 Unspecified viral encephalitis
after_filter	Focused_BH	A86	FALSE	A86 Unspecified viral encephalitis
before_filter	Structured_Holm	A86	FALSE	A86 Unspecified viral encephalitis
after_filter	Structured_Holm	A86	FALSE	A86 Unspecified viral encephalitis
before_filter	BH	A86	FALSE	A86 Unspecified viral encephalitis
after_filter	BH	A86	FALSE	A86 Unspecified viral encephalitis
before_filter	Leaf_BH	A86	FALSE	A86 Unspecified viral encephalitis
after_filter	Leaf_BH	A86	FALSE	A86 Unspecified viral encephalitis
before_filter	Yekutieli	A86	FALSE	A86 Unspecified viral encephalitis
after_filter	Yekutieli	A86	FALSE	A86 Unspecified viral encephalitis
before_filter	Focused_BH	A87	FALSE	A87 Viral meningitis
after_filter	Focused_BH	A87	FALSE	A87 Viral meningitis
before_filter	Structured_Holm	A87	FALSE	A87 Viral meningitis
after_filter	Structured_Holm	A87	FALSE	A87 Viral meningitis
before_filter	BH	A87	FALSE	A87 Viral meningitis
after_filter	BH	A87	FALSE	A87 Viral meningitis
before_filter	Leaf_BH	A87	FALSE	A87 Viral meningitis
after_filter	Leaf_BH	A87	FALSE	A87 Viral meningitis
before_filter	Yekutieli	A87	FALSE	A87 Viral meningitis
after_filter	Yekutieli	A87	FALSE	A87 Viral meningitis
before_filter	Focused_BH	A879	FALSE	A87.9 Viral meningitis, unspecified
after_filter	Focused_BH	A879	FALSE	A87.9 Viral meningitis, unspecified
before_filter	Structured_Holm	A879	FALSE	A87.9 Viral meningitis, unspecified
after_filter	Structured_Holm	A879	FALSE	A87.9 Viral meningitis, unspecified
before_filter	BH	A879	FALSE	A87.9 Viral meningitis, unspecified
after_filter	BH	A879	FALSE	A87.9 Viral meningitis, unspecified
before_filter	Leaf_BH	A879	FALSE	A87.9 Viral meningitis, unspecified
after_filter	Leaf_BH	A879	FALSE	A87.9 Viral meningitis, unspecified
before_filter	Yekutieli	A879	FALSE	A87.9 Viral meningitis, unspecified
after_filter	Yekutieli	A879	FALSE	A87.9 Viral meningitis, unspecified
before_filter	Focused_BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
after_filter	Focused_BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
before_filter	Structured_Holm	B00	FALSE	B00 Herpesviral [herpes simplex] infections
after_filter	Structured_Holm	B00	FALSE	B00 Herpesviral [herpes simplex] infections
before_filter	BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
after_filter	BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
before_filter	Leaf_BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
after_filter	Leaf_BH	B00	FALSE	B00 Herpesviral [herpes simplex] infections
before_filter	Yekutieli	B00	FALSE	B00 Herpesviral [herpes simplex] infections
after_filter	Yekutieli	B00	FALSE	B00 Herpesviral [herpes simplex] infections
before_filter	Focused_BH	B01	FALSE	B01 Varicella [chickenpox]
after_filter	Focused_BH	B01	FALSE	B01 Varicella [chickenpox]
before_filter	Structured_Holm	B01	FALSE	B01 Varicella [chickenpox]
after_filter	Structured_Holm	B01	FALSE	B01 Varicella [chickenpox]
before_filter	BH	B01	FALSE	B01 Varicella [chickenpox]
after_filter	BH	B01	FALSE	B01 Varicella [chickenpox]
before_filter	Leaf_BH	B01	FALSE	B01 Varicella [chickenpox]
after_filter	Leaf_BH	B01	FALSE	B01 Varicella [chickenpox]
before_filter	Yekutieli	B01	FALSE	B01 Varicella [chickenpox]
after_filter	Yekutieli	B01	FALSE	B01 Varicella [chickenpox]
before_filter	Focused_BH	B02	FALSE	B02 Zoster [herpes zoster]
after_filter	Focused_BH	B02	FALSE	B02 Zoster [herpes zoster]
before_filter	Structured_Holm	B02	FALSE	B02 Zoster [herpes zoster]
after_filter	Structured_Holm	B02	FALSE	B02 Zoster [herpes zoster]
before_filter	BH	B02	FALSE	B02 Zoster [herpes zoster]
after_filter	BH	B02	FALSE	B02 Zoster [herpes zoster]
before_filter	Leaf_BH	B02	FALSE	B02 Zoster [herpes zoster]
after_filter	Leaf_BH	B02	FALSE	B02 Zoster [herpes zoster]
before_filter	Yekutieli	B02	FALSE	B02 Zoster [herpes zoster]
after_filter	Yekutieli	B02	FALSE	B02 Zoster [herpes zoster]
before_filter	Focused_BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
after_filter	Focused_BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
before_filter	Structured_Holm	B022	FALSE	B02.2 Zoster with other nervous system involvement
after_filter	Structured_Holm	B022	FALSE	B02.2 Zoster with other nervous system involvement
before_filter	BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
after_filter	BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
before_filter	Leaf_BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
after_filter	Leaf_BH	B022	FALSE	B02.2 Zoster with other nervous system involvement
before_filter	Yekutieli	B022	FALSE	B02.2 Zoster with other nervous system involvement
after_filter	Yekutieli	B022	FALSE	B02.2 Zoster with other nervous system involvement
before_filter	Focused_BH	B023	FALSE	B02.3 Zoster ocular disease
after_filter	Focused_BH	B023	FALSE	B02.3 Zoster ocular disease
before_filter	Structured_Holm	B023	FALSE	B02.3 Zoster ocular disease
after_filter	Structured_Holm	B023	FALSE	B02.3 Zoster ocular disease
before_filter	BH	B023	FALSE	B02.3 Zoster ocular disease
after_filter	BH	B023	FALSE	B02.3 Zoster ocular disease
before_filter	Leaf_BH	B023	FALSE	B02.3 Zoster ocular disease
after_filter	Leaf_BH	B023	FALSE	B02.3 Zoster ocular disease
before_filter	Yekutieli	B023	FALSE	B02.3 Zoster ocular disease
after_filter	Yekutieli	B023	FALSE	B02.3 Zoster ocular disease
before_filter	Focused_BH	B029	FALSE	B02.9 Zoster without complication
after_filter	Focused_BH	B029	FALSE	B02.9 Zoster without complication
before_filter	Structured_Holm	B029	FALSE	B02.9 Zoster without complication
after_filter	Structured_Holm	B029	FALSE	B02.9 Zoster without complication
before_filter	BH	B029	FALSE	B02.9 Zoster without complication
after_filter	BH	B029	FALSE	B02.9 Zoster without complication
before_filter	Leaf_BH	B029	FALSE	B02.9 Zoster without complication
after_filter	Leaf_BH	B029	FALSE	B02.9 Zoster without complication
before_filter	Yekutieli	B029	FALSE	B02.9 Zoster without complication
after_filter	Yekutieli	B029	FALSE	B02.9 Zoster without complication
before_filter	Focused_BH	B07	FALSE	B07 Viral warts
after_filter	Focused_BH	B07	FALSE	B07 Viral warts
before_filter	Structured_Holm	B07	FALSE	B07 Viral warts
after_filter	Structured_Holm	B07	FALSE	B07 Viral warts
before_filter	BH	B07	FALSE	B07 Viral warts
after_filter	BH	B07	FALSE	B07 Viral warts
before_filter	Leaf_BH	B07	FALSE	B07 Viral warts
after_filter	Leaf_BH	B07	FALSE	B07 Viral warts
before_filter	Yekutieli	B07	FALSE	B07 Viral warts
after_filter	Yekutieli	B07	FALSE	B07 Viral warts
before_filter	Focused_BH	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
after_filter	Focused_BH	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
before_filter	Structured_Holm	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
after_filter	Structured_Holm	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
before_filter	BH	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
after_filter	BH	B08	FALSE	B08 Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
